"agency_cd","site_no","datetime","discharge.max","discharge.max.approval","discharge.min","discharge.min.approval","discharge.mean","discharge.mean.approval","gage.height.max","gage.height.max.approval","gage.height.min","gage.height.min.approval","gage.height.mean","gage.height.mean.approval"
"USGS",2085000,"271001",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271002",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271003",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271004",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271005",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271006",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271007",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271008",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271009",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271010",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271011",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271012",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271013",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271014",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271015",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271016",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271017",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271018",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271019",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271020",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271021",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271022",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271023",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271024",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271025",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271026",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271027",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271028",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271029",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271030",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271031",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271101",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271102",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271103",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271104",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271105",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271106",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271107",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271108",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271109",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271110",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271111",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271112",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271113",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271114",NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
